Date,Close/Last,Volume,Open,High,Low
02/21/2025,$199.83,5419461,$208.36,$209.12,$198.44
02/20/2025,$208.74,2969052,$209.73,$210.275,$207.15
02/19/2025,$210.50,2699066,$209.04,$211.7808,$208.88
02/18/2025,$210.08,4395963,$209.87,$212.1929,$209.32
02/14/2025,$208.27,4268458,$208.66,$209.16,$204.97
02/13/2025,$208.36,3763283,$211.12,$211.30,$206.2666
02/12/2025,$209.64,4595182,$206.70,$211.42,$206.14
02/11/2025,$208.82,4110933,$205.00,$209.1499,$204.44
02/10/2025,$205.22,3787836,$206.14,$206.66,$203.40
02/07/2025,$205.28,3954373,$206.48,$207.84,$204.50
02/06/2025,$206.06,3113444,$205.00,$206.10,$204.06
02/05/2025,$204.58,3239416,$203.88,$205.28,$201.79
02/04/2025,$202.18,5413812,$202.93,$204.54,$200.43
02/03/2025,$204.11,4678259,$200.00,$204.73,$198.97
01/31/2025,$203.57,5514250,$205.84,$205.87,$203.07
01/30/2025,$205.57,6282073,$199.81,$205.93,$199.48
01/29/2025,$199.10,5595791,$194.93,$199.94,$194.925
01/28/2025,$194.43,4858823,$195.295,$196.55,$191.79
01/27/2025,$194.46,7674813,$194.34,$196.6299,$192.74
01/24/2025,$196.75,7835717,$202.50,$203.00,$195.52
01/23/2025,$200.80,14403550,$201.40,$207.65,$198.10
01/22/2025,$188.36,7457807,$188.08,$189.24,$186.61
01/21/2025,$187.50,7508406,$184.90,$189.32,$184.51
01/17/2025,$182.85,5899122,$180.78,$183.19,$179.96
01/16/2025,$179.74,6144731,$181.68,$182.88,$178.6161
01/15/2025,$180.29,7396952,$179.07,$180.875,$178.88
01/14/2025,$176.86,6432707,$173.11,$177.90,$172.395
01/13/2025,$171.57,5610767,$169.51,$172.52,$169.00
01/10/2025,$171.69,5131215,$172.40,$173.46,$170.74
01/08/2025,$172.89,4528044,$172.00,$173.58,$170.71
01/07/2025,$172.31,6496810,$172.22,$173.70,$170.78
01/06/2025,$172.45,4980254,$173.15,$173.68,$171.18
01/03/2025,$171.96,3975729,$169.22,$172.63,$169.00
01/02/2025,$168.59,4149470,$167.92,$170.70,$167.22
12/31/2024,$166.79,2806894,$168.50,$168.547,$166.15
12/30/2024,$168.10,4117847,$167.20,$169.23,$166.0117
12/27/2024,$170.08,3188394,$170.72,$171.465,$168.98
12/26/2024,$172.15,3310314,$171.02,$172.67,$170.13
12/24/2024,$171.49,2235717,$169.24,$171.49,$168.85
12/23/2024,$169.02,4127655,$168.12,$169.33,$166.55
12/20/2024,$168.37,9281454,$163.97,$169.08,$163.16
12/19/2024,$164.80,6257586,$163.03,$165.77,$162.18
12/18/2024,$159.95,8059085,$166.00,$166.63,$159.60
12/17/2024,$165.80,4855069,$165.80,$166.51,$163.53
12/16/2024,$165.79,7436033,$166.32,$169.20,$165.45
12/13/2024,$166.01,4957058,$165.65,$167.87,$165.54
12/12/2024,$164.83,7808575,$168.64,$169.284,$164.45
12/11/2024,$168.64,7606440,$173.17,$173.17,$167.93
12/10/2024,$171.27,5100310,$171.01,$173.155,$170.61
12/09/2024,$171.32,6500779,$175.00,$176.37,$170.771
12/06/2024,$175.58,6899599,$173.30,$175.83,$172.44
12/05/2024,$172.91,7547257,$180.33,$180.765,$172.71
12/04/2024,$182.65,3713391,$180.50,$182.90,$178.00
12/03/2024,$180.72,2882333,$181.00,$182.235,$179.907
12/02/2024,$180.44,2817711,$180.80,$181.64,$179.42
11/29/2024,$182.16,2054660,$181.45,$182.97,$181.13
11/27/2024,$180.60,2726189,$184.64,$184.69,$180.4401
11/26/2024,$184.60,3918940,$180.87,$184.93,$180.42
11/25/2024,$180.21,9740668,$182.24,$183.70,$179.55
11/22/2024,$181.15,3405150,$179.30,$181.74,$178.78
11/21/2024,$178.70,4531958,$178.41,$180.94,$177.34
11/20/2024,$177.98,3225715,$178.10,$178.54,$176.00
11/19/2024,$177.56,3215966,$176.50,$177.88,$175.70
11/18/2024,$177.52,2835273,$177.00,$178.5699,$175.13
11/15/2024,$176.93,5302109,$176.75,$177.918,$175.89
11/14/2024,$178.40,5085580,$183.00,$183.80,$177.49
11/13/2024,$183.56,3935215,$182.95,$186.30,$182.76
11/12/2024,$182.64,3158423,$185.07,$185.70,$180.59
11/11/2024,$184.56,3371921,$186.63,$187.47,$183.70
11/08/2024,$184.81,4676543,$179.65,$186.42,$179.45
11/07/2024,$178.85,5084181,$181.02,$181.02,$176.77
11/06/2024,$180.76,5939501,$181.50,$182.06,$178.50
11/05/2024,$175.26,3607258,$172.36,$175.47,$171.77
11/04/2024,$171.76,4197434,$172.30,$174.68,$171.45
11/01/2024,$171.70,3984932,$172.76,$175.27,$171.585
10/31/2024,$171.78,5177127,$172.00,$173.62,$170.43
10/30/2024,$174.64,3694047,$172.98,$176.53,$172.505
10/29/2024,$174.05,5219331,$174.56,$174.90,$172.77
10/28/2024,$175.36,5687388,$179.98,$180.58,$175.21
10/25/2024,$179.10,3974941,$180.00,$181.42,$178.30
10/24/2024,$179.74,4366779,$181.90,$182.21,$179.63
10/23/2024,$181.69,9788582,$179.70,$184.98,$179.615
10/22/2024,$176.66,15636230,$184.50,$185.00,$175.75
10/21/2024,$194.23,4728833,$192.91,$194.39,$192.02
10/18/2024,$192.61,3075931,$193.10,$193.44,$191.14
10/17/2024,$192.62,2633322,$194.09,$194.80,$192.20
10/16/2024,$192.18,2912845,$190.50,$192.22,$189.92
10/15/2024,$190.57,3824316,$193.85,$194.3326,$189.7601
10/14/2024,$192.63,3132873,$191.98,$193.93,$191.66
10/11/2024,$191.16,2983933,$189.41,$191.765,$189.06
